"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
38,"NCT05652348","Response Prediction of Hyperthermic Intraperitoneal Chemotherapy in Gastro- Intestinal Cancer","Hi-STEP1","Recruiting","No Results Available","Gastric Cancer|Colon Cancer|Peritoneal Carcinomatosis","Other: Establishment of organoid cultures and in vitro sensitivity testing","Evaluation of the sensitivity of the in vitro response of the organoid model to chemotherapeutic agents|Next generation sequencing of organoid cultures","Technische Universität Dresden|Deutsches Krebsforschungszentrum (DKFZ)","All","18 Years and older   (Adult, Older Adult)",,"48","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","VTG-12","December 8, 2022","December 31, 2028","December 31, 2028","December 15, 2022",,"January 12, 2023","Department of Visceral, Thoracic and Vascular Surgery, University Hospital Carl Gustv Carus Dresden, Dresden, Germany|University Hospital Heidelberg, Heidelberg, Germany",,"https://ClinicalTrials.gov/show/NCT05652348"
39,"NCT03577808","Organoids in Predicting Chemoradiation Sensitivity on Rectal Cancer",,"Unknown status","No Results Available","Organoids|Rectal Cancer|Chemoradiation","Other: Biopsy","Response of the rectal cancer organoids to irradiation and the same chemotherapy drugs as the corresponding patient.|Response of the rectal cancer patients to neoadjuvant chemoradiation.","Zhen Zhang|Fudan University","All","18 Years to 75 Years   (Adult, Older Adult)",,"80","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","FDRT-R008","August 17, 2018","August 1, 2020","November 1, 2020","July 5, 2018",,"August 20, 2018","Fudan University, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT03577808"
40,"NCT03283527","Organoid Based Response Prediction in Esophageal Cancer","RARESTEM/Org","Unknown status","No Results Available","Organoid|Esophageal Cancer|Chemoradiation",,"Response prediction by EC-PDO|EC-PDO growth rate in-vivo|Stem cell characterization measured by the amount of CD24-/CD44+|Radio/Chemo-sensitivity/resistance; the effective dose 50% (ED50%) of CSCs enriched subpopulation will be compared with the ED50% esophageal cancer cell lines.|Clinical response: based on PET-CT (standard): complete, partial or no response|Disease free survival (DFS) in months in patients|Overall survival (OS) in months","University Medical Center Groningen","All","18 Years and older   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","RARESTEM/Organoid","December 1, 2017","January 1, 2020","January 1, 2020","September 14, 2017",,"February 15, 2018","University Medical Center Groningen (UMCG), Groningen, Netherlands|Martini Ziekenhuis, Groningen, Netherlands|Medisch Centrum Leeuwarden, Leeuwarden, Netherlands",,"https://ClinicalTrials.gov/show/NCT03283527"
41,"NCT05734963","ORganoid GeneratioN Study for Cancer","ORIGINS","Recruiting","No Results Available","Cancer","Genetic: DNA sequencing, RNA gene expression analysis, molecular profiling","Establish patient-derived organoid (PDO) model for cancers|To collection contemporaneous biological samples from patients with cancer before and after surgery/biopsy, and again after any adjuvant therapy|To collect tumour tissue to facilitate evolutionary analysis with molecular analysis of multiple regions|Retrieval and analysis of archival primary tissue blocks for comparison where available|To establish co-culture tumour/stroma/immune cell models|To observe associations between molecular and clinicopathological data","Royal Marsden NHS Foundation Trust","All","18 Years and older   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","CCR5396","April 4, 2022","April 12, 2031","April 12, 2031","February 21, 2023",,"February 21, 2023","The Royal Marsden Hospital, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT05734963"
42,"NCT05196334","Pharmacotyping of Pancreatic Patient-derived Organoids",,"Recruiting","No Results Available","Pancreatic Cancer","Other: No intervention","Measurement of organoid's response to therapy|Validation of patient's response to therapy|Comparison between organoid's and patient's response","Herlev Hospital|Rigshospitalet, Denmark","All","18 Years and older   (Adult, Older Adult)",,"40","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Pancreatic organoid protocol","July 1, 2021","June 30, 2023","December 31, 2024","January 19, 2022",,"March 1, 2023","Endoscopy Unit, Herlev Hospital, Herlev, Copenhagen, Denmark",,"https://ClinicalTrials.gov/show/NCT05196334"
43,"NCT05317221","Developing Breast (Cancer) Organoids",,"Recruiting","No Results Available","Breast Cancer","Other: Not an extra intervention, tissue taken in routine practice will be used.","Living biobank|Organoids.","Maastricht Radiation Oncology|Maastricht University Medical Center|Maastricht University","Female","18 Years and older   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Organoids Breast","September 1, 2022","April 1, 2028","May 1, 2028","April 7, 2022",,"March 16, 2023","Maastricht University Medical Center, Maastricht, Netherlands",,"https://ClinicalTrials.gov/show/NCT05317221"
44,"NCT04279509","Selecting Chemotherapy With High-throughput Drug Screen Assay Using Patient Derived Organoids in Patients With Refractory Solid Tumours (SCORE)",,"Unknown status","No Results Available","Organoids|HNSCC|Epithelial Ovarian Cancer|Colorectal Cancer","Procedure: Tumor Core Biopsy|Procedure: Blood sampling","Overall radiological response rate|Correlation between patient genotype, tumor biomarkers and blood biomarkers with clinical outcome","National University Hospital, Singapore","All","21 Years to 99 Years   (Adult, Older Adult)","Not Applicable","35","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","MC01/01/19","May 29, 2019","May 2021","May 2022","February 21, 2020",,"September 9, 2020","National University Hospital, Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT04279509"
45,"NCT05136014","Evaluation of the Response to Tyrosine Kinase Inhibitors in Localized Non-small Cell Lung Cancer (NSCLC) Patients With EGFR Mutation in a Patient-derived Organoid Model","OS-TUMOVASC","Enrolling by invitation","No Results Available","Lung Cancer|Lung Adenocarcinoma|EGFR Activating Mutation|KRAS Mutation-Related Tumors|Non Small Cell Lung Cancer","Other: Collection of surgical waste","Evaluation of the in vitro efficacy of osimertinib in a patient-derived organoid model alone or in combination|Identify non-responders to osimertinib in vitro","Central Hospital, Nancy, France|Institut de Cancérologie de Lorraine","All","18 Years and older   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2021PI057","November 1, 2021","November 1, 2021","November 1, 2022","November 26, 2021",,"November 26, 2021","Seitlinger, Vandoeuvre-lès-Nancy, Lorraine, France",,"https://ClinicalTrials.gov/show/NCT05136014"
46,"NCT05351983","Patient-derived Organoids Drug Screen in Pancreatic Cancer",,"Recruiting","No Results Available","Pancreas Cancer|Pancreas Neoplasm|Pancreas Adenocarcinoma|Pancreatic Cancer|Pancreatic Neoplasms|Pancreatic Adenocarcinoma","Procedure: Surgical biopsy of tumoral tissue for organoid generation","Feasibility of the process|Safety of surgical biopsy and post-operative surgical complications.|Contamination rates|Chemosensitivity testing","Prof. Dr. med. Dres. h.c. Jan Schmidt, MME|Klinik Hirslanden, Zurich","All","18 Years to 100 Years   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","HIRSLANDEN_PANC_001","September 22, 2022","June 2023","June 2023","April 28, 2022",,"October 25, 2022","Hirslanden Kliniks, Zürich, Switzerland",,"https://ClinicalTrials.gov/show/NCT05351983"
47,"NCT04450706","Functional Precision Oncology for Metastatic Breast Cancer","FORESEE","Recruiting","No Results Available","HER2-negative Breast Cancer","Other: Precision Medicine|Other: Physican Decision Making","Number of cases where clinically actionable outcomes were identified by the use of organoids and drug screening (functional precision oncology).|The time from patient sample collection to return of genomic characterization results.|The time from patient sample collection to return of drug screening results.|Performance: comparison between the number of clinically actionable outcomes identified by our functional genomic characterization and commercially available assays|Concordance: To assess the frequency with which our functional precision oncology testing identifies the same therapeutic vulnerabilities identified by commercial (gold standard) testing.","University of Utah","All","18 Years and older   (Adult, Older Adult)","Not Applicable","15","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HCI131027","February 16, 2021","August 2023","August 2025","June 29, 2020",,"June 10, 2022","Huntsman Cancer Institute at University of Utah, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT04450706"
48,"NCT04859166","Prospective Primary Human Lungcancer Organoids to Predict Treatment Response","Organoids lung","Completed","No Results Available","Lung Cancer","Procedure: Organoids","Bio-banking|Frequency of organoid formation|Distribution|Proliferation|PDX models of lung cancer|Established PDX histologically|Established PDX genetically|Established PDX biologically|Test treatments|Test hypotheses|Generate cell lines","Maastricht Radiation Oncology","All","Child, Adult, Older Adult",,"10","Other","Observational","Observational Model: Other|Time Perspective: Prospective","Organoids lung","November 15, 2017","October 1, 2022","October 1, 2022","April 26, 2021",,"March 15, 2023","Zuyderland Medical Center, Heerlen, Netherlands|Maastro, Maastricht, Netherlands",,"https://ClinicalTrials.gov/show/NCT04859166"
49,"NCT05571956","Establishment of Pancreas Cancer and Cancer-associated Fibroblast Using EUS-guided Biopsy Samples",,"Recruiting","No Results Available","Pancreas Adenocarcinoma","Other: Pancreatic ductal adenocarcinoma organoids and cancer-associated fibroblasts establishment group","simultaneous establishment of pancreatic ductal adenocarcinoma organoids and cancer-associated fibroblasts","Ajou University School of Medicine","All","20 Years and older   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","AJOUIRB-SMP-2020-222","July 1, 2020","February 28, 2024","February 28, 2025","October 7, 2022",,"October 10, 2022","Ajou University Hospital, Suwon, Gyeong Gi Do, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT05571956"
50,"NCT03925233","Breast Cancer Treatment Based on Organ-like Culture",,"Unknown status","No Results Available","Breast Cancer Organoids","Drug: Trastuzumab|Drug: Doxorubicin Hydrochloride|Drug: Epirubicin hydrochloride|Drug: Fluorouracil|Drug: Paclitaxel|Drug: Gemcitabine|Drug: Cisplatin|Drug: Recombinant Human Endostatin|Drug: Pirarubicin hydrochloride|Drug: Pyrrolidine|Drug: Ixabepilone|Drug: Tamoxifen citrate|Drug: Vinorelbine tartrate|Drug: Carboplatin|Drug: Methotrexate|Drug: Eribulin mesylate|Drug: Toremifene citrate|Drug: Anastrozole|Drug: Letrozole|Drug: Exemestane|Drug: Fulvestrant|Drug: Olaparib|Drug: Bevacizumab|Drug: Apatinib mesylate|Drug: Pattozumab|Drug: Capecitabine|Drug: Ear particles|Drug: Aidi Injection|Drug: Cyclophosphamide","Detection of cell viability|Detection of in vitro model drug sensitivity|Clinical efficacy assessment according to RECIST criteria","Xijing Hospital","Female","18 Years to 65 Years   (Adult, Older Adult)",,"300","Other","Observational","Observational Model: Case-Only|Time Perspective: Retrospective","KY20182079-F-1","January 2, 2019","December 15, 2021","December 15, 2021","April 24, 2019",,"April 24, 2019","JingSu, Xi'an, Shaanxi, China",,"https://ClinicalTrials.gov/show/NCT03925233"
51,"NCT03500068","Establishing Organoids From Metastatic Pancreatic Cancer Patients, the OPT-I Study.","OPT-1","Unknown status","No Results Available","Carcinoma, Pancreatic Ductal","Diagnostic Test: biopsies & blood analyses","Developing organoids from advanced pancreatic cancer patients that predict non response or response|Functional studies will be done with the patient derived organoids to find biomarkers that correlate with response in organoids and patients.","Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)|Erasmus Medical Center","All","18 Years and older   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","2017-202","September 4, 2017","September 1, 2022","September 1, 2022","April 17, 2018",,"January 19, 2021","Academic Medical Center, Medical Oncology, Amsterdam, Netherlands",,"https://ClinicalTrials.gov/show/NCT03500068"
52,"NCT05767931","Development of Multi-specific Antibodies Based on Immune Microenvironment of Breast Cancer",,"Not yet recruiting","No Results Available","Invasive Breast Cancer",,"antitumor rate of multi-specific antibody in patient-derived organoids and PDX model","Peking University","Female","18 Years to 70 Years   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","BC-P32","March 6, 2023","November 6, 2024","March 6, 2025","March 14, 2023",,"March 14, 2023","Peking University Cancer Hospital, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT05767931"
53,"NCT05352165","The Clinical Efficacy of Drug Sensitive Neoadjuvant Chemotherapy Based on Organoid Versus Traditional Neoadjuvant Chemotherapy in Advanced Rectal Cancer",,"Not yet recruiting","No Results Available","Neoadjuvant Therapy","Drug: standard long-term therapy|Drug: FOLFOX and standard long-term radiotherapy|Drug: FOLFIRI and standard long-term radiotherapy|Drug: 5-FU and standard long-term radiotherapy|Drug: 5-FU and pembrolizumab and standard long-term radiotherapy|Drug: Other individualized treatments","Pathologic Complete Response|Postoperative complication|Tumor Regression Grading|Local recurrence|Distant metastasis|Treatment tolerance rate|R0 resection rate|anus-saving rate","Shanghai Minimally Invasive Surgery Center|Shanghai OneTar Biomedicine Co., Ltd.|Wuxi Branch of Ruijin Hospital","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","192","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MISC-WXXR-001","January 1, 2023","December 31, 2024","December 31, 2025","April 28, 2022",,"April 28, 2022",,,"https://ClinicalTrials.gov/show/NCT05352165"
54,"NCT05183425","Patient-derived Organoids Predicts the Clinical Efficiency of Colorectal Liver Metastasis",,"Recruiting","No Results Available","Explore the Consistency of Drug Sensitivity Between Primary Colorectal Cancer and Liver Metastases",,"The consistency of drug sensitivity|The establishment of PDO","Changhai Hospital","All","18 Years to 70 Years   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Other|Time Perspective: Prospective","CHCS-PDO","January 1, 2022","December 31, 2023","December 31, 2024","January 10, 2022",,"February 4, 2022","Department of Colorectal Surgery in Changhai Hospital, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT05183425"
55,"NCT04261192","Establishment of Squamous Cell Organoids of the Head and Neck to Assess Their Response to Innovative Therapies","ORGAVADS","Recruiting","No Results Available","Head and Neck Cancer","Other: Constitution of tumor and blood samples","Rate of establishment of exploitable organoids tumor","Centre Francois Baclesse","All","18 Years and older   (Adult, Older Adult)",,"98","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2019-A03332-55","July 3, 2020","February 2023","February 2025","February 7, 2020",,"August 10, 2022","Centre François Baclesse, Caen, France|CHU de Caen, Caen, France",,"https://ClinicalTrials.gov/show/NCT04261192"
56,"NCT04561453","Feasibility Study of Multi-Platform Profiling of Resected Biliary Tract Cancer",,"Recruiting","No Results Available","Biliary Tract Cancer|Cholangiocarcinoma|Gallbladder Cancer|Intrahepatic Cholangiocarcinoma|Perihilar Cholangiocarcinoma|Extrahepatic Cholangiocarcinoma|Hilar Cholangiocarcinoma|Distal Bile Duct Cancer","Diagnostic Test: Multi-Platform Profiling with Organoid Drug Sensitivity Screening and ctDNA Monitoring","Success Rate of Organoid Culture and Drug Screen|Success Rate of Obtaining circulating tumor DNA (ctDNA) quantification and Ability to assess change in ctDNA levels across those time points|Physician-Adjudicated Utility of Profiling Test Results - Post-Adjuvant Therapy|Prospective Concordance of Organoid Drug Screen Results and In Vivo Drug Activity|Predictive Value of circulating tumor DNA (ctDNA) for Recurrence|Concordance of Organoid Drug Screen Results with Next Generation Sequencing (NGS)-Predicted Drug Sensitivities|Physician-Adjudicated Utility of Profiling Test Results - At Time of Recurrence|Predictive Value of circulating tumor DNA (ctDNA) for Response to Medical Therapy","University of Washington|Natera, Inc.|SEngine Precision Medicine, Inc.","All","18 Years and older   (Adult, Older Adult)",,"20","Other|Industry","Observational","Observational Model: Case-Only|Time Perspective: Prospective","RG1121019|STUDY00010051","July 8, 2020","July 31, 2023","July 1, 2025","September 23, 2020",,"January 25, 2023","University of Illinois at Chicago, Chicago, Illinois, United States|University of Washington, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT04561453"
57,"NCT04842006","Systemic Neoadjuvant and Adjuvant Control by Precision Medicine in Rectal Cancer","SYNCOPE","Recruiting","No Results Available","Colorectal Cancer","Drug: Total neoadjuvant therapy (TNT)|Diagnostic Test: Minimal residual disease (MRD)|Radiation: Long radiation therapy","Recurrence-free survival|Postoperative ctDNA|CRC-specific survival|overall survival|number of surgically resected patients resected patients|R0-resection rate|local recurrence rate|complete pathological response response rate|complete clinical response rate|total uptake of chemotherapy|adverse effects of surgery effects of surgery|adverse effects of chemotherapy|Treatment response by patient-derived organoid (PDO) therapy response","Helsinki University Central Hospital","All","18 Years to 100 Years   (Adult, Older Adult)","Not Applicable","93","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HUS/155/2021","December 20, 2021","August 31, 2028","December 31, 2031","April 12, 2021",,"March 6, 2023","Helsinki University Central Hospital, Helsinki, Uusimaa, Finland|Tampere University Hospital, Tampere, Finland",,"https://ClinicalTrials.gov/show/NCT04842006"
58,"NCT05725200","Study to Investigate Outcome of Individualized Treatment in Patients With Metastatic Colorectal Cancer","EVIDENT","Recruiting","No Results Available","Metastatic Colorectal Cancer","Drug: Alectinib|Drug: Cetuximab|Drug: Crizotinib|Drug: Dasatinib|Drug: Everolimus|Drug: Encorafenib|Drug: Gemcitabine|Drug: Idelalisib|Drug: Larotrectinib|Drug: Methotrexate|Drug: Palbociclib|Drug: Panobinostat|Drug: Pembrolizumab|Drug: Petrozumab|Drug: Trastuzumab|Drug: Talazoparib|Drug: Venetoclax","Pre-Screening: Obtain a combined pharmacogenomic profile which can be used to provide a MTB-nominated treatment|Main Study: To evaluate the anti-tumor activity, measured as objective response rate (ORR) of MTB-nominated therapies with drugs not approved or implemented in standard of care (SOC) for treatment of mCRC.|Pre-Screening: To obtain a full combined pharmacogenomic profile from a tumor biopsy that is eligible for treatment decisions in a standard oncology practice.|Main Study: Progression-free survival (PFS) and duration of response (DOR)|Main Study: Overall survival (OS)|Main Study: Safety and tolerability of the different MTB-nominated treatments|Main Study: Objective response of an MTB-nominated anti-cancer therapy compared to objective response to the prior line(s) SOC treatment.|Main Study: Efficacy of MTB-nominated anti-cancer therapy compared to the efficacy of prior lines SOC treatment.|Main study: Objective response of an MTB-nominated anti-cancer therapy compared to objective response to the next line(s) SOC treatment.|Main study: Efficacy of an MTB-nominated anti-cancer therapy compared to the efficacy achieved by the next line(s) of SOC treatment.|Main study: Patient-reported outcome measures.","Oslo University Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 2","40","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EVIDENT","September 27, 2022","December 31, 2038","December 31, 2040","February 13, 2023",,"February 21, 2023","Oslo University Hospital, Oslo, Norway",,"https://ClinicalTrials.gov/show/NCT05725200"
59,"NCT05351398","The Clinical Efficacy of Drug Sensitive Neoadjuvant Chemotherapy Based on Organoid Versus Traditional Neoadjuvant Chemotherapy in Advanced Gastric Cancer",,"Not yet recruiting","No Results Available","Advanced Gastric Carcinoma","Drug: PDO group|Drug: Traditional group","Objective Response Rate|postoperative complication|postoperative tumor regression grading|3-year recurrence rate|chemotherapy tolerance and adverse reaction rate|R0 resection rate","Shanghai Minimally Invasive Surgery Center|Wuxi Branch of Ruijin Hospital|Shanghai OneTar Biomedicine Co., Ltd.","All","18 Years to 80 Years   (Adult, Older Adult)",,"54","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","MISC-WXXR-002","April 2022","June 2023","December 2023","April 28, 2022",,"April 28, 2022","Shanghai Ruijin Hospttal, Shanghai, Sahnghai, China",,"https://ClinicalTrials.gov/show/NCT05351398"
60,"NCT03821870","Predictive Value of Analysing Tissue From Patients With Metastatic Pancreatic Cancer for Drug Sensitivity","TIP","Recruiting","No Results Available","Metastatic Pancreatic Cancer","Diagnostic Test: Inditreat|Drug: Experimental drug","Predictive value of in-vitro testing|Feasibility of selecting second-line therapy based on pre-treatment biopsies as measured by treatment response (RESIST 1.1 criteria)|Feasibility of selecting second-line therapy based on pre-treatment biopsies as measured by progression free survival (PFS)","Vejle Hospital","All","18 Years and older   (Adult, Older Adult)",,"30","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","TIP","February 25, 2019","December 31, 2021","December 2023","January 30, 2019",,"April 27, 2022","Departmen of Oncology, Vejle Hospital, Vejle, Denmark",,"https://ClinicalTrials.gov/show/NCT03821870"
61,"NCT04865315","A Living Tissue Bank of Patient-Derived Organoids From Glioma Tumors","HiLoGlio","Active, not recruiting","No Results Available","Low-grade Glioma|High Grade Glioma",,"Phenotypic, genetic, epigenetic proteomic and transcriptomic profile of the LGG/HGG PDOs","Maastricht Radiation Oncology|Maastricht University Medical Center|Zuyderland Medisch Centrum|Ziekenhuis Oost-Limburg","All","18 Years and older   (Adult, Older Adult)",,"50","Other","Observational","Observational Model: Other|Time Perspective: Prospective","HiLoGlio Organoid Study","May 1, 2022","December 2024","December 2024","April 29, 2021",,"August 24, 2022","Maastricht Radiation Oncology, Maastricht, Limburg, Netherlands",,"https://ClinicalTrials.gov/show/NCT04865315"
62,"NCT04278326","Primary Organoid Models and Combined Nucleic Acids Therapeutics for Anti-HPV Treatments","ORGANOIDES","Recruiting","No Results Available","HPV Infection|Vaginal Cancer|Cervical Dysplasia|Cervical Cancer","Procedure: Vaginal Biopsy","To develop a 3D vaginal organoid culture model.|Inhibition of HPV molecular therapeutics using oligonucleotide, and siRNA (small interfering RNA)","Centre Hospitalier Régional d'Orléans|CNRS - Pr Chantal PICHON","Female","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","CHRO-2019-08","March 6, 2020","April 2024","April 2024","February 20, 2020",,"April 6, 2022","CHR Orléans, Orléans, France",,"https://ClinicalTrials.gov/show/NCT04278326"
63,"NCT03874559","Exosomes in Rectal Cancer",,"Unknown status","No Results Available","Rectal Cancer","Diagnostic Test: Blood Draw","Exosomal Biomarkers Assessment|Exosomal Expression|Exosomal Functionality Assessment","University of Kansas Medical Center","All","18 Years and older   (Adult, Older Adult)",,"30","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Protocol IIT-RE-0","February 13, 2018","February 1, 2021","February 1, 2022","March 14, 2019",,"March 14, 2019","University of Kansas Medical Center/ Cancer Center, Kansas City, Kansas, United States",,"https://ClinicalTrials.gov/show/NCT03874559"
64,"NCT03140592","Pancreatic Cancer Models Developed From EUS Guided Biopsy Tissue",,"Unknown status","No Results Available","Pancreatic Cancer|Pancreatic Adenocarcinoma|Pancreatic Cyst","Procedure: Biopsy","Successful generation of pancreatic organoids","Stony Brook University","All","18 Years and older   (Adult, Older Adult)",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","IRBNet # 618834","January 14, 2015","January 2023","January 2023","May 4, 2017",,"March 19, 2021","Stony Brook University, Stony Brook, New York, United States",,"https://ClinicalTrials.gov/show/NCT03140592"
65,"NCT05464082","Functional Precision Oncology to Predict, Prevent, and Treat Early Metastatic Recurrence of TNBC","TOWARDS-II","Suspended","No Results Available","Breast Cancer Recurrent","Other: Functional Precision Oncology","Proportion of cases where clinically actionable therapies were identified by FPO.|Compare the recurrence rates between patients whose tumors successfully engrafted in mice (PDX+) vs. not (PDX-)|Correlation between tumor engraftment (PDX+/-) and relapse-free survival, overall survival, and response to preoperative chemotherapy and treatment response as assessed on the Residual Cancer Burden scale|Proportion of cases where any type of patient derived models are successfully generated and clinically actionable therapies are identified by functional precision oncology.|Correlation between MHCII Immune Activation Score (high vs. low and as a continuous variable) and tumor engraftment (PDX+/-) and clinical outcomes (relapse-free and overall survival).|Correlation between methylated ctDNA measurements as assessed using the MethylPatch assay pretreatment, pre- and post surgery, with PDX engraftment data (+/-) and clinical outcomes (relapse-free and overall survival)|frequency with which therapeutic responses in PDX, PDxO, and/or PDO align with the clinical, radiographic, and pathologic responses observed in the matched patient|determine the feasibility of returning FPO results to inform the selection of 2nd line therapy after recurrence|Calculate PFS ratios of 2nd line FPO-informed: 1st line ""uninformed"" therapy as a preliminary measure of efficacy","University of Utah|United States Department of Defense","All","18 Years and older   (Adult, Older Adult)","Phase 2","80","Other|U.S. Fed","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HCI153239","January 6, 2023","September 30, 2025","September 30, 2027","July 19, 2022",,"January 10, 2023","Huntsman Cancer Institute at University of Utah, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT05464082"
66,"NCT04770974","Urothelial Cancer Tumor Bio-markers and Physical-spectroscopic Characteristic",,"Recruiting","No Results Available","Urothelial Carcinoma|Bladder Cancer|Urothelial Neoplasm|Urothelial Carcinoma Bladder|Urothelial Carcinoma in Situ","Other: Biomarkers and proteomics","Metabolomic|Spectroscopy|Progression|Response to treatments|Survival|Transcriptomic","University of Florence|University of Milano Bicocca|Fondazione C.N.R./Regione Toscana ""G. Monasterio"", Pisa, Italy|Careggi Hospital","All","18 Years and older   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","17852_bio","December 10, 2020","December 7, 2022","December 7, 2022","February 25, 2021",,"May 9, 2022","Careggi Hospital, Florence, Tuscany, Italy",,"https://ClinicalTrials.gov/show/NCT04770974"
67,"NCT03778814","TCR-T Cell Immunotherapy of Lung Cancer and Other Solid Tumors",,"Recruiting","No Results Available","Nonsmall Cell Lung Cancer|Solid Tumor, Adult","Biological: TCR-T cells","Number of Patients with Dose Limiting Toxicity|Percent of Patients with best response as either complete remission or partial remission","Second Affiliated Hospital of Guangzhou Medical University|Tcell Immune (Guangzhou) Science and Technology Ltd.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","30","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ZZTCRT-006","December 1, 2018","December 30, 2025","December 30, 2033","December 19, 2018",,"February 14, 2023","The Second Affiliated Hospital of Guangzhou Medical University, Guanzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT03778814"
68,"NCT04826913","High Throughput Screening Device Based on 3D Nano-matrices and 3D Tumors With Functional Vascularization","TUMOVASC","Not yet recruiting","No Results Available","NSCLC","Device: Organoids","Testing of anti-cancer drugs","University Hospital, Strasbourg, France","All","18 Years and older   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","8036","April 2021","April 2021","April 2024","April 1, 2021",,"April 1, 2021","Les Hôpitaux Universitaires de Strasbourg, Strasbourg, France",,"https://ClinicalTrials.gov/show/NCT04826913"
69,"NCT04968990","Treatment of Newly Diagnosed Patient's With Wilm's Tumor Requiring Abdominal Radiation Delivered With Proton Beam Irradiation",,"Recruiting","No Results Available","Wilms Tumor","Device: Proton Beam Radiation (PBRT)|Drug: DD-4A Chemotherapy Regimen|Procedure: Complete Surgical Resection|Procedure: Surgical Resection|Procedure: Partial Nephrectomy","Half circumference at 3 year|Half circumference at 5 year|Half circumference at 7 year|Half circumference at 10 year|Local control rate in a partially radiated kidney","St. Jude Children's Research Hospital","All","Child, Adult, Older Adult","Phase 2","95","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SJWT21","August 19, 2021","December 2026","December 2036","July 20, 2021",,"September 6, 2022","St.Jude Children's Research Hospital, Memphis, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT04968990"
