ID,text_all,researched_tumor,tumor_organ,NT_organ,tumor_organ_adjusted
4476,"YAP1-NUTM1 Gene Fusion in Porocarcinoma of the External Auditory Canal.; Auditory canal and Ear and Head and neck and Midline carcinoma and NUT carcinoma and NUTM1 and YAP1; Gene fusions involving the NUTM1 gene (NUT) represent defining genetic markers of a highly aggressive carcinoma type with predilection for the midline structures of children and young adults, hence the original description as NUT midline carcinoma. Recent studies have increasingly documented involvement of the NUTM1 gene in the pathogenesis of other entities as well. We herein describe two cases of auditory canal carcinomas with features of porocarcinoma, both harboring a newly described YAP1-NUTM1 gene fusion. Patients were males aged 28 and 82 years who presented with slowly growing lesions in the external auditory canal. Histologic examination showed monomorphic basaloid and squamoid cells arranged into organoid solid aggregates, nests, ducts, small cysts, and focal pseudocribriform pattern with variable mitotic activity, infiltrative growth, and focal squamous differentiation, particularly in the most superficial part of the tumor. Immunohistochemistry revealed consistent reactivity for CK5, p63 and SOX10 and diffuse aberrant expression of TP53. CK7 expression was limited to a few luminal ductal cells. The androgen receptor and S100 were negative. Next generation sequencing (TruSight RNA fusion panel, Illumina) revealed the same YAP1-NUTM1 gene fusion in both tumors, which was subsequently confirmed by NUT-FISH and the monoclonal anti-NUT antibody. These cases represent a novel contribution to the spectrum of NUT-rearranged head and neck malignancies. This adnexal carcinoma variant should not be confused with the highly lethal NUT carcinoma based on NUT immunoreactivity alone.",sweat gland,sweat gland,,unidentified
4661,"Neuroendocrine Carcinomas of the Gallbladder: A Clinicopathologic and Immunohistochemical Analysis of 34 Resected Cases; gallbladder;  neuroendocrine carcinoma;  postoperative adjuvant therapy;  prognosis;  Rb1; Neuroendocrine carcinoma (NEC) is an aggressive malignant tumor that rarely arises from the gallbladder. Here, we investigated the clinicopathologic and immunohistochemical characteristics of 34 NECs of the gallbladder. The patients were predominantly women (68%) with a median age of 63 years (range, 37 to 82 y). NECs frequently occurred in the fundus (44%) as mass-forming lesions (66%). Histologically, 17 tumors were of small cell type, and another 17 were of large cell type. Twenty-three cases (68%) were associated with biliary intraepithelial neoplasia (38%) and intracholecystic papillary neoplasm (29%). The majority of tumors exhibited a diffuse growth pattern (74%), followed by organoid (24%) or scirrhous (2%) growth patterns. Histologic features related to neuroendocrine differentiation, such as nuclear molding (56%), perilobular pseudopalisading (18%), and rosette formation (15%), were identified. Immunohistochemically, cytokeratin 7 and 20 were expressed in 19 (56%) and 8 (24%) cases, respectively. Loss of Rb1 expression and concomitant overexpression of p16 were observed in 25 (74%) cases. No BRAFV600Emutations were identified in any of the 34 NECs. For survival analysis, the 1-, 3-, and 5-year overall survival rates were 64%, 35%, and 19%, respectively. In a multivariate analysis, the receipt of adjuvant chemoradiation therapy was identified as the only independent prognostic factor associated with the overall survival rate. The 1-and 3-year overall survival rates of patients with NECs were poorer for patients with poorly differentiated adenocarcinoma of the gallbladder (P&lt;0.001). The complete resection and application of postoperative adjuvant therapy may influence a better clinical outcome in patients with NEC of the gallbladder.  2020 Lippincott Williams and Wilkins. All rights reserved.",gallbladder,gallbladder,,unidentified
4778,"MSIsensor-pro: Fast, Accurate, and Matched-normal-sample-free Detection of Microsatellite Instability.; Microsatellite and Microsatellite instability and Multinomial distribution and Polymerase slippage and Tumor; Microsatellite instability (MSI) is a key biomarker for cancer therapy and prognosis. Traditional experimental assays are laborious and time-consuming, and next-generation sequencing-based computational methods do not work on leukemia samples, paraffin-embedded samples, or patient-derived xenografts/organoids, due to the requirement of matched normal samples. Herein, we developed MSIsensor-pro, an open-source single sample MSI scoring method for research and clinical applications. MSIsensor-pro introduces a multinomial distribution model to quantify polymerase slippages for each tumor sample and a discriminative site selection method to enable MSI detection without matched normal samples. We demonstrate that MSIsensor-pro is an ultrafast, accurate, and robust MSI calling method. Using samples with various sequencing depths and tumor purities, MSIsensor-pro significantly outperformed the current leading methods in both accuracy and computational cost. MSIsensor-pro is available at https://github.com/xjtu-omics/msisensor-pro and free for non-commercial use, while a commercial license is provided upon request.",blood,blood,,unidentified
5011,"LGR5(+) epithelial tumor stem-like cells generate a 3D-organoid model for ameloblastoma.; NA; Ameloblastoma (AM) is a benign but locally aggressive tumor with high recurrences. Currently, underlying pathophysiology remains elusive, and radical surgery remains the most definitive treatment with severe morbidities. We have recently reported that AM harbors a subpopulation of tumor epithelial stem-like cells (AM-EpiSCs). Herein, we explored whether LGR5(+) epithelial cells in AM possess stem-like cell properties and their potential contribution to pathogenesis and recurrence of AM. We found that LGR5 and stem cell-related genes were co-expressed in a subpopulation of AM epithelial cells both in vivo and in vitro, which were enriched under 3D-spheroid culture. As compared to LGR5(-) counterparts, LGR5(+) AM epithelial cells showed increased expression of various EMT- and stemness-related genes, and functionally, exhibited increased capacity to form 3D-spheroids and generate human tumor 3D organoids, which recapitulated the histopathologic features of distinct subtypes of solid AM, thus, contributing a useful human tumor platform for targeted therapeutic screening. Treatment with a selective BRAF(V600E) inhibitor, vemurafenib, unexpectedly enriched the subpopulation of LGR5(+) AM-EpiSCs in tumor 3D organoids, which may have explained therapeutic resistances and recurrences. These findings suggest that LGR5(+) AM-EpiSCs play a pivotal role in pathogenesis and progression of AM and targeted inhibition of both BRAF and LGR5 potentially serves a novel nonsurgical adjuvant therapeutic approach for this aggressively benign jaw tumor.",tooth,tooth,,ok
5038,"Model of Patient-Specific Immune-Enhanced Organoids for Immunotherapy Screening: Feasibility Study.; NA; INTRODUCTION: We hypothesized that engineering a combined lymph node/melanoma organoid from the same patient would allow tumor, stroma, and immune system to remain viable for personalized immunotherapy screening. METHODS: Surgically obtained matched melanoma and lymph node biospecimens from the same patient were transferred to the laboratory and washed with saline, antibiotic, and red blood cell lysis buffer. Biospecimens were dissociated, incorporated into an extracellular matrix (ECM)-based hydrogel system, and biofabricated into three dimensional (3D) mixed melanoma/node organoids. Cells were not sorted, so as to preserve tumor heterogeneity, including stroma and immune cell components, resulting in immune-enhanced patient tumor organoids (iPTOs). Organoid sets were screened in parallel with nivolumab, pembrolizumab, ipilimumab, and dabrafenib/trametinib for 72 h. LIVE/DEAD staining and quantitative metabolism assays recorded relative drug efficacy. Histology and immunohistochemistry were used to compare tumor melanoma cells with organoid melanoma cells. Lastly, node-enhanced iPTOs were employed to activate patient-matched peripheral blood T cells for killing of tumor cells in nave PTOs. RESULTS: Ten biospecimen sets obtained from eight stage III and IV melanoma patients were reconstructed as symbiotic immune/tumor organoids between September 2017 and June 2018. Successful establishment of viable organoid sets was 90% (9/10), although organoid yield varied with biospecimen size. Average time from organoid development to initiation of immunotherapy testing was 7 days. In three patients for whom a node was not available, it was substituted with peripheral blood mononuclear cells. iPTO response to immunotherapy was similar to specimen clinical response in 85% (6/7) patients. In an additional pilot study, peripheral T cells were circulated through iPTOs, and subsequently transferred to nave PTOs from the same patient, resulting in tumor killing, suggesting a possible role of iPTOs in generating adaptive immunity. CONCLUSION: Development of 3D mixed immune-enhanced tumor/node organoids is a feasible platform, allowing individual patient immune system and tumor cells to remain viable for studying of personalized immunotherapy response.",dermal,lymph node,,ok
5038,"Model of Patient-Specific Immune-Enhanced Organoids for Immunotherapy Screening: Feasibility Study.; NA; INTRODUCTION: We hypothesized that engineering a combined lymph node/melanoma organoid from the same patient would allow tumor, stroma, and immune system to remain viable for personalized immunotherapy screening. METHODS: Surgically obtained matched melanoma and lymph node biospecimens from the same patient were transferred to the laboratory and washed with saline, antibiotic, and red blood cell lysis buffer. Biospecimens were dissociated, incorporated into an extracellular matrix (ECM)-based hydrogel system, and biofabricated into three dimensional (3D) mixed melanoma/node organoids. Cells were not sorted, so as to preserve tumor heterogeneity, including stroma and immune cell components, resulting in immune-enhanced patient tumor organoids (iPTOs). Organoid sets were screened in parallel with nivolumab, pembrolizumab, ipilimumab, and dabrafenib/trametinib for 72 h. LIVE/DEAD staining and quantitative metabolism assays recorded relative drug efficacy. Histology and immunohistochemistry were used to compare tumor melanoma cells with organoid melanoma cells. Lastly, node-enhanced iPTOs were employed to activate patient-matched peripheral blood T cells for killing of tumor cells in nave PTOs. RESULTS: Ten biospecimen sets obtained from eight stage III and IV melanoma patients were reconstructed as symbiotic immune/tumor organoids between September 2017 and June 2018. Successful establishment of viable organoid sets was 90% (9/10), although organoid yield varied with biospecimen size. Average time from organoid development to initiation of immunotherapy testing was 7 days. In three patients for whom a node was not available, it was substituted with peripheral blood mononuclear cells. iPTO response to immunotherapy was similar to specimen clinical response in 85% (6/7) patients. In an additional pilot study, peripheral T cells were circulated through iPTOs, and subsequently transferred to nave PTOs from the same patient, resulting in tumor killing, suggesting a possible role of iPTOs in generating adaptive immunity. CONCLUSION: Development of 3D mixed immune-enhanced tumor/node organoids is a feasible platform, allowing individual patient immune system and tumor cells to remain viable for studying of personalized immunotherapy response.",lymph node,lymph node,,ok
5038,"Model of Patient-Specific Immune-Enhanced Organoids for Immunotherapy Screening: Feasibility Study.; NA; INTRODUCTION: We hypothesized that engineering a combined lymph node/melanoma organoid from the same patient would allow tumor, stroma, and immune system to remain viable for personalized immunotherapy screening. METHODS: Surgically obtained matched melanoma and lymph node biospecimens from the same patient were transferred to the laboratory and washed with saline, antibiotic, and red blood cell lysis buffer. Biospecimens were dissociated, incorporated into an extracellular matrix (ECM)-based hydrogel system, and biofabricated into three dimensional (3D) mixed melanoma/node organoids. Cells were not sorted, so as to preserve tumor heterogeneity, including stroma and immune cell components, resulting in immune-enhanced patient tumor organoids (iPTOs). Organoid sets were screened in parallel with nivolumab, pembrolizumab, ipilimumab, and dabrafenib/trametinib for 72 h. LIVE/DEAD staining and quantitative metabolism assays recorded relative drug efficacy. Histology and immunohistochemistry were used to compare tumor melanoma cells with organoid melanoma cells. Lastly, node-enhanced iPTOs were employed to activate patient-matched peripheral blood T cells for killing of tumor cells in nave PTOs. RESULTS: Ten biospecimen sets obtained from eight stage III and IV melanoma patients were reconstructed as symbiotic immune/tumor organoids between September 2017 and June 2018. Successful establishment of viable organoid sets was 90% (9/10), although organoid yield varied with biospecimen size. Average time from organoid development to initiation of immunotherapy testing was 7 days. In three patients for whom a node was not available, it was substituted with peripheral blood mononuclear cells. iPTO response to immunotherapy was similar to specimen clinical response in 85% (6/7) patients. In an additional pilot study, peripheral T cells were circulated through iPTOs, and subsequently transferred to nave PTOs from the same patient, resulting in tumor killing, suggesting a possible role of iPTOs in generating adaptive immunity. CONCLUSION: Development of 3D mixed immune-enhanced tumor/node organoids is a feasible platform, allowing individual patient immune system and tumor cells to remain viable for studying of personalized immunotherapy response.",dermal,dermal,,ok
5038,"Model of Patient-Specific Immune-Enhanced Organoids for Immunotherapy Screening: Feasibility Study.; NA; INTRODUCTION: We hypothesized that engineering a combined lymph node/melanoma organoid from the same patient would allow tumor, stroma, and immune system to remain viable for personalized immunotherapy screening. METHODS: Surgically obtained matched melanoma and lymph node biospecimens from the same patient were transferred to the laboratory and washed with saline, antibiotic, and red blood cell lysis buffer. Biospecimens were dissociated, incorporated into an extracellular matrix (ECM)-based hydrogel system, and biofabricated into three dimensional (3D) mixed melanoma/node organoids. Cells were not sorted, so as to preserve tumor heterogeneity, including stroma and immune cell components, resulting in immune-enhanced patient tumor organoids (iPTOs). Organoid sets were screened in parallel with nivolumab, pembrolizumab, ipilimumab, and dabrafenib/trametinib for 72 h. LIVE/DEAD staining and quantitative metabolism assays recorded relative drug efficacy. Histology and immunohistochemistry were used to compare tumor melanoma cells with organoid melanoma cells. Lastly, node-enhanced iPTOs were employed to activate patient-matched peripheral blood T cells for killing of tumor cells in nave PTOs. RESULTS: Ten biospecimen sets obtained from eight stage III and IV melanoma patients were reconstructed as symbiotic immune/tumor organoids between September 2017 and June 2018. Successful establishment of viable organoid sets was 90% (9/10), although organoid yield varied with biospecimen size. Average time from organoid development to initiation of immunotherapy testing was 7 days. In three patients for whom a node was not available, it was substituted with peripheral blood mononuclear cells. iPTO response to immunotherapy was similar to specimen clinical response in 85% (6/7) patients. In an additional pilot study, peripheral T cells were circulated through iPTOs, and subsequently transferred to nave PTOs from the same patient, resulting in tumor killing, suggesting a possible role of iPTOs in generating adaptive immunity. CONCLUSION: Development of 3D mixed immune-enhanced tumor/node organoids is a feasible platform, allowing individual patient immune system and tumor cells to remain viable for studying of personalized immunotherapy response.",lymph node,dermal,,ok
5099,"Hippo-YAP1 Is a Prognosis Marker and Potentially Targetable Pathway in Advanced Gallbladder Cancer.; Gallbladder cancer and Hippo pathway and Verteporfin and YAP1 and molecular-targeted therapies and patient-derived organoids.; Gallbladder cancer is an aggressive disease with late diagnosis and no efficacious treatment. The Hippo-Yes-associated protein 1 (YAP1) signaling pathway has emerged as a target for the development of new therapeutic interventions in cancers. However, the role of the Hippo-targeted therapy has not been addressed in advanced gallbladder cancer (GBC). This study aimed to evaluate the expression of the major Hippo pathway components mammalian Ste20-like protein kinase 1 (MST1), YAP1 and transcriptional coactivator with PDZ-binding motif (TAZ) and examined the effects of Verteporfin (VP), a small molecular inhibitor of YAP1-TEA domain transcription factor (TEAD) protein interaction, in metastatic GBC cell lines and patient-derived organoids (PDOs). Immunohistochemical analysis revealed that advanced GBC patients had high nuclear expression of YAP1. High nuclear expression of YAP1 was associated with poor survival in GBC patients with subserosal invasion (pT2). Additionally, advanced GBC cases showed reduced expression of MST1 compared to chronic cholecystitis. Both VP treatment and YAP1 siRNA inhibited the migration ability in GBC cell lines. Interestingly, gemcitabine resistant PDOs with high nuclear expression of YAP1 were sensitive to VP treatment. Taken together, our results suggest that key components of the Hippo-YAP1 signaling pathway are dysregulated in advanced gallbladder cancer and reveal that the inhibition YAP1 may be a candidate for targeted therapy.",gallbladder,gallbladder,,ok
5133,"Development and radiation response assessment in a novel syngeneic mouse model of tongue cancer: 2D culture, 3D organoids and orthotopic allografts; NA; Oral squamous cell carcinoma (OSCC) are aggressive cancers that contribute to significant morbidity and mortality in humans. Although numerous human xenograft models of OSCC have been developed, only a few syngeneic models of OSCC exist. Here, we report on a novel murine model of OSCC, RP-MOC1, derived from a tongue tumor in a C57Bl/6 mouse exposed to the carcinogen 4-nitroquinoline-1-oxide. Phenotypic characterization and credentialing (STR profiling, exome sequencing) of RP-MOC1 cells was performed in vitro. Radiosensitivity was evaluated in 2D culture, 3D organoids, and in vivo using orthotopic allografts. RP-MOC1 cells exhibited a stable epithelial phenotype with proliferative, migratory and invasive properties. Exome sequencing identified several mutations commonly found in OSCC patients. The LD50 for RP-MOC1 cells in 2D culture and 3D organoids was found to be 2.4 Gy and 12.6 Gy, respectively. Orthotopic RP-MOC1 tumors were pan-cytokeratin+ and Ki-67+. Magnetic resonance imaging of orthotopic RP-MOC1 tumors established in immunocompetent mice revealed marked growth inhibition following 10 Gy and 15 Gy fractionated radiation regimens. This radiation response was completely abolished in tumors established in immunodeficient mice. This novel syngeneic model of OSCC can serve as a valuable platform for the evaluation of combination strategies to enhance radiation response against this deadly disease.",tongue,tongue,,ok
5225,"Foliate Lymphoid Aggregates as Novel Forms of Serous Lymphocyte Entry Sites of Peritoneal B Cells and High-Grade B Cell Lymphomas.; NA; The cellular homeostasis of lymphoid tissues is determined by the continuous interactions of mobile hematopoietic cells within specialized microenvironments created by sessile stromal cells. In contrast to the lymph nodes and mucosal lymphoid tissues with well-defined entry and exit routes, the movement of leukocytes in the peritoneal cavity is largely unknown. In this study, we report that, in addition to the omental milky spots and fat-associated lymphoid clusters, in mice, the serous surface of the mesenteric adipose streaks contains lymphocyte-rich organoids comprised of a highly compacted leaf-like part connected to the adipose tissue that can also efficiently bind B cells and high-grade B cell lymphoma (diffuse large B cell lymphoma) cells. Denoted as foliate lymphoid aggregates (FLAgs), these structures show incomplete T/B segregation and a partially differentiated stromal architecture. LYVE-1-positive macrophages covering FLAgs efficiently bind i.p. injected normal B cells as well as different types of diffuse large B cell lymphoma cells. Within FLAgs, the lymphocytes compartmentalize according to their chemokine receptor pattern and subsequently migrate toward the mesenteric lymph nodes via the mesenteric lymphatic capillaries. The blood supply of FLAgs includes short vascular segments displaying peripheral lymph node addressin, and the extravasation of lymphocytes to the omental and mesenteric adipose tissues is partly mediated by L-selectin. The appearance of i.p. injected cells in mesenteric lymph nodes suggests that the mesentery-associated lymphatics may also collect leukocytes from the fat-associated lymphoid clusters and FLAgs, thus combining the mucosal and serous exit of mobile leukocytes and increasing the range of drainage sites for the peritoneal expansion of lymphoid malignancies.",lymphatic,lymphoid,,unidentified
5225,"Foliate Lymphoid Aggregates as Novel Forms of Serous Lymphocyte Entry Sites of Peritoneal B Cells and High-Grade B Cell Lymphomas.; NA; The cellular homeostasis of lymphoid tissues is determined by the continuous interactions of mobile hematopoietic cells within specialized microenvironments created by sessile stromal cells. In contrast to the lymph nodes and mucosal lymphoid tissues with well-defined entry and exit routes, the movement of leukocytes in the peritoneal cavity is largely unknown. In this study, we report that, in addition to the omental milky spots and fat-associated lymphoid clusters, in mice, the serous surface of the mesenteric adipose streaks contains lymphocyte-rich organoids comprised of a highly compacted leaf-like part connected to the adipose tissue that can also efficiently bind B cells and high-grade B cell lymphoma (diffuse large B cell lymphoma) cells. Denoted as foliate lymphoid aggregates (FLAgs), these structures show incomplete T/B segregation and a partially differentiated stromal architecture. LYVE-1-positive macrophages covering FLAgs efficiently bind i.p. injected normal B cells as well as different types of diffuse large B cell lymphoma cells. Within FLAgs, the lymphocytes compartmentalize according to their chemokine receptor pattern and subsequently migrate toward the mesenteric lymph nodes via the mesenteric lymphatic capillaries. The blood supply of FLAgs includes short vascular segments displaying peripheral lymph node addressin, and the extravasation of lymphocytes to the omental and mesenteric adipose tissues is partly mediated by L-selectin. The appearance of i.p. injected cells in mesenteric lymph nodes suggests that the mesentery-associated lymphatics may also collect leukocytes from the fat-associated lymphoid clusters and FLAgs, thus combining the mucosal and serous exit of mobile leukocytes and increasing the range of drainage sites for the peritoneal expansion of lymphoid malignancies.",lymphatic,,omentum,unidentified
5251,"Single-Cell Resolution Three-Dimensional Imaging of Intact Organoids.; NA; Organoid technology, in vitro 3D culturing of miniature tissue, has opened a new experimental window for cellular processes that govern organ development and function as well as disease. Fluorescence microscopy has played a major role in characterizing their cellular composition in detail and demonstrating their similarity to the tissue they originate from. In this article, we present a comprehensive protocol for high-resolution 3D imaging of whole organoids upon immunofluorescent labeling. This method is widely applicable for imaging of organoids differing in origin, size and shape. Thus far we have applied the method to airway, colon, kidney, and liver organoids derived from healthy human tissue, as well as human breast tumor organoids and mouse mammary gland organoids. We use an optical clearing agent, FUnGI, which enables the acquisition of whole 3D organoids with the opportunity for single-cell quantification of markers. This three-day protocol from organoid harvesting to image analysis is optimized for 3D imaging using confocal microscopy.",mammary,mammary gland,,mammary
5251,"Single-Cell Resolution Three-Dimensional Imaging of Intact Organoids.; NA; Organoid technology, in vitro 3D culturing of miniature tissue, has opened a new experimental window for cellular processes that govern organ development and function as well as disease. Fluorescence microscopy has played a major role in characterizing their cellular composition in detail and demonstrating their similarity to the tissue they originate from. In this article, we present a comprehensive protocol for high-resolution 3D imaging of whole organoids upon immunofluorescent labeling. This method is widely applicable for imaging of organoids differing in origin, size and shape. Thus far we have applied the method to airway, colon, kidney, and liver organoids derived from healthy human tissue, as well as human breast tumor organoids and mouse mammary gland organoids. We use an optical clearing agent, FUnGI, which enables the acquisition of whole 3D organoids with the opportunity for single-cell quantification of markers. This three-day protocol from organoid harvesting to image analysis is optimized for 3D imaging using confocal microscopy.",mammary,,liver,mammary
5251,"Single-Cell Resolution Three-Dimensional Imaging of Intact Organoids.; NA; Organoid technology, in vitro 3D culturing of miniature tissue, has opened a new experimental window for cellular processes that govern organ development and function as well as disease. Fluorescence microscopy has played a major role in characterizing their cellular composition in detail and demonstrating their similarity to the tissue they originate from. In this article, we present a comprehensive protocol for high-resolution 3D imaging of whole organoids upon immunofluorescent labeling. This method is widely applicable for imaging of organoids differing in origin, size and shape. Thus far we have applied the method to airway, colon, kidney, and liver organoids derived from healthy human tissue, as well as human breast tumor organoids and mouse mammary gland organoids. We use an optical clearing agent, FUnGI, which enables the acquisition of whole 3D organoids with the opportunity for single-cell quantification of markers. This three-day protocol from organoid harvesting to image analysis is optimized for 3D imaging using confocal microscopy.",mammary,,kidney,mammary
5629,"Three-Dimensional Organoids Reveal Therapy Resistance of Esophageal and Oropharyngeal Squamous Cell Carcinoma Cells.; NA; BACKGROUND & AIMS: Oropharyngeal and esophageal squamous cell carcinomas, especially the latter, are a lethal disease, featuring intratumoral cancer cell heterogeneity and therapy resistance. To facilitate cancer therapy in personalized medicine, three-dimensional (3D) organoids may be useful for functional characterization of cancer cells ex vivo. We investigated the feasibility and the utility of patient-derived 3D organoids of esophageal and oropharyngeal squamous cell carcinomas. METHODS: We generated 3D organoids from paired biopsies representing tumors and adjacent normal mucosa from therapy-nave patients and cell lines. We evaluated growth and structures of 3D organoids treated with 5-fluorouracil ex vivo. RESULTS: Tumor-derived 3D organoids were grown successfully from 15 out of 21 patients (71.4%) and passaged with recapitulation of the histopathology of the original tumors. Successful formation of tumor-derived 3D organoids was associated significantly with poor response to presurgical neoadjuvant chemotherapy or chemoradiation therapy in informative patients (P = 0.0357, progressive and stable diseases, n = 10 vs. partial response, n = 6). The 3D organoid formation capability and 5-fluorouracil resistance were accounted for by cancer cells with high CD44 expression and autophagy, respectively. Such cancer cells were found to be enriched in patient-derived 3D organoids surviving 5-fluorouracil treatment. CONCLUSIONS: The single cell-based 3D organoid system may serve as a highly efficient platform to explore cancer therapeutics and therapy resistance mechanisms in conjunction with morphological and functional assays with implications for translation in personalized medicine.",,oropharynx,,oropharynx
5629,"Three-Dimensional Organoids Reveal Therapy Resistance of Esophageal and Oropharyngeal Squamous Cell Carcinoma Cells.; NA; BACKGROUND & AIMS: Oropharyngeal and esophageal squamous cell carcinomas, especially the latter, are a lethal disease, featuring intratumoral cancer cell heterogeneity and therapy resistance. To facilitate cancer therapy in personalized medicine, three-dimensional (3D) organoids may be useful for functional characterization of cancer cells ex vivo. We investigated the feasibility and the utility of patient-derived 3D organoids of esophageal and oropharyngeal squamous cell carcinomas. METHODS: We generated 3D organoids from paired biopsies representing tumors and adjacent normal mucosa from therapy-nave patients and cell lines. We evaluated growth and structures of 3D organoids treated with 5-fluorouracil ex vivo. RESULTS: Tumor-derived 3D organoids were grown successfully from 15 out of 21 patients (71.4%) and passaged with recapitulation of the histopathology of the original tumors. Successful formation of tumor-derived 3D organoids was associated significantly with poor response to presurgical neoadjuvant chemotherapy or chemoradiation therapy in informative patients (P = 0.0357, progressive and stable diseases, n = 10 vs. partial response, n = 6). The 3D organoid formation capability and 5-fluorouracil resistance were accounted for by cancer cells with high CD44 expression and autophagy, respectively. Such cancer cells were found to be enriched in patient-derived 3D organoids surviving 5-fluorouracil treatment. CONCLUSIONS: The single cell-based 3D organoid system may serve as a highly efficient platform to explore cancer therapeutics and therapy resistance mechanisms in conjunction with morphological and functional assays with implications for translation in personalized medicine.",,,esophagus,esophagus
5629,"Three-Dimensional Organoids Reveal Therapy Resistance of Esophageal and Oropharyngeal Squamous Cell Carcinoma Cells.; NA; BACKGROUND & AIMS: Oropharyngeal and esophageal squamous cell carcinomas, especially the latter, are a lethal disease, featuring intratumoral cancer cell heterogeneity and therapy resistance. To facilitate cancer therapy in personalized medicine, three-dimensional (3D) organoids may be useful for functional characterization of cancer cells ex vivo. We investigated the feasibility and the utility of patient-derived 3D organoids of esophageal and oropharyngeal squamous cell carcinomas. METHODS: We generated 3D organoids from paired biopsies representing tumors and adjacent normal mucosa from therapy-nave patients and cell lines. We evaluated growth and structures of 3D organoids treated with 5-fluorouracil ex vivo. RESULTS: Tumor-derived 3D organoids were grown successfully from 15 out of 21 patients (71.4%) and passaged with recapitulation of the histopathology of the original tumors. Successful formation of tumor-derived 3D organoids was associated significantly with poor response to presurgical neoadjuvant chemotherapy or chemoradiation therapy in informative patients (P = 0.0357, progressive and stable diseases, n = 10 vs. partial response, n = 6). The 3D organoid formation capability and 5-fluorouracil resistance were accounted for by cancer cells with high CD44 expression and autophagy, respectively. Such cancer cells were found to be enriched in patient-derived 3D organoids surviving 5-fluorouracil treatment. CONCLUSIONS: The single cell-based 3D organoid system may serve as a highly efficient platform to explore cancer therapeutics and therapy resistance mechanisms in conjunction with morphological and functional assays with implications for translation in personalized medicine.",,,respiratory,oropharynx
5665,"Patient-derived organoids as a potential model to predict response to PD-1/PD-L1 checkpoint inhibitors.; NA; Selection of cancer patients for treatment with immune checkpoint inhibitors remains a challenge due to tumour heterogeneity and variable biomarker detection. PD-L1 expression in 24 surgical chordoma specimen was determined immunohistochemically with antibodies 28-8 and E1L3N. The ability of patient-derived organoids to detect treatment effects of nivolumab was explored by quantitative and qualitative immunofluorescence and FACS analysis. The more sensitive antibody, E1L3N (ROC=0.896, p=0.001), was associated with greater tumour diameters (p=0.014) and detected both tumour cells and infiltrating lymphocytes in 54% of patients, but only 1-15% of their cells. Organoids generated from PD-L1-positive patients contained both tumour cells and PD-1/CD8-positive lymphocytes and responded to nivolumab treatment with marked dose-dependent diameter reductions of up to 50% and increased cell death in both PD-L1-positive and negative organoids. Patient-derived organoids may be valuable to predict individual responses to immunotherapy even in patients with low or no immunohistochemical PD-L1 expression.",spine,spine,,ok
5903,"High-resolution 3D imaging of fixed and cleared organoids.; NA; In vitro 3D organoid systems have revolutionized the modeling of organ development and diseases in a dish. Fluorescence microscopy has contributed to the characterization of the cellular composition of organoids and demonstrated organoids' phenotypic resemblance to their original tissues. Here, we provide a detailed protocol for performing high-resolution 3D imaging of entire organoids harboring fluorescence reporters and upon immunolabeling. This method is applicable to a wide range of organoids of differing origins and of various sizes and shapes. We have successfully used it on human airway, colon, kidney, liver and breast tumor organoids, as well as on mouse mammary gland organoids. It includes a simple clearing method utilizing a homemade fructose-glycerol clearing agent that captures 3D organoids in full and enables marker quantification on a cell-by-cell basis. Sample preparation has been optimized for 3D imaging by confocal, super-resolution confocal, multiphoton and light-sheet microscopy. From organoid harvest to image analysis, the protocol takes 3 d.",liver,mammary gland,,mammary
5903,"High-resolution 3D imaging of fixed and cleared organoids.; NA; In vitro 3D organoid systems have revolutionized the modeling of organ development and diseases in a dish. Fluorescence microscopy has contributed to the characterization of the cellular composition of organoids and demonstrated organoids' phenotypic resemblance to their original tissues. Here, we provide a detailed protocol for performing high-resolution 3D imaging of entire organoids harboring fluorescence reporters and upon immunolabeling. This method is applicable to a wide range of organoids of differing origins and of various sizes and shapes. We have successfully used it on human airway, colon, kidney, liver and breast tumor organoids, as well as on mouse mammary gland organoids. It includes a simple clearing method utilizing a homemade fructose-glycerol clearing agent that captures 3D organoids in full and enables marker quantification on a cell-by-cell basis. Sample preparation has been optimized for 3D imaging by confocal, super-resolution confocal, multiphoton and light-sheet microscopy. From organoid harvest to image analysis, the protocol takes 3 d.",mammary,mammary gland,,mammary
